assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Miller et al. 2005, ,,-93.033,16.738
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,1998.0,-101.5651,19.5575
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1964.0,-103.21722,20.28972
1276157,169391,Chirostoma attenuatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1956.0,-101.61917,19.54556
1276460,169395,Zoogoneticus tequila,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Lambert, ,1990.0,-103.8436,20.6816
1276617,169397,Herichthys steindachneri,1,1,1,"Fabian Pérez, Omar Mejía,  Eduardo Soto-Galera, IPN-ENCB",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P3626,PRESERVED_SPECIMEN,1971.0,-99.35417,21.98083
1335293,171880,Pseudodon cumingii,1,1,1,Alexandra Zieritz,2016,IUCN (International Union for Conservation of Nature),Extant (resident), , ,, ,,Collected by Alexandra Zieritz et al. 2015, ,2015.0,100.2648056,6.43055556
1338292,172003,Pholeoteras olympios,1,1,1,Nefeli Kassari,2023,"Kassari, N.",Extant (resident),,,,,,,,0.0,22.44062045,40.26049189
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),,,,,,,PRESERVED_SPECIMEN,1941.0,-97.4,19.34694
1494296,17763,Poblana ferdebueni,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),,,,,,,PRESERVED_SPECIMEN,1959.0,-98.02889,19.82889
1494351,17764,Poblana letholepis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1947.0,-97.37833,19.40722
1494618,17765,Poblana squamata,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,PRESERVED_SPECIMEN,1947.0,-97.49111,19.33556
1532241,17837,Poeciliopsis monacha,1,1,1,T. Contreras McBeath 2014,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-109.95,29.96666667
1725896,18136,Prietella phreatophila,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-101.53,27.865
1726388,18137,Prietella lundbergi,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-98.83472222,22.67083333
1811886,186361,Scleronema operculatum,1,1,1,"Brejão, G. L.; Fernando, E.",2023,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,CRIA,,0.0,-55.12944412,-29.54055595
1813377,186459,Steindachneridion punctatum,1,1,1,"Salvador, G.N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,cria,,0.0,-51.46111298,-27.60611153
1813422,186462,Crenicichla jupiaensis,1,1,1,"Fernando, E.",2023,IUCN (International Union for Conservation of Nature),Extant (resident),,,"5-10.xii.1969:, Guaíra.",,,splink,,0.0,-54.266666,-24.083334
1814124,186508,Brycon orbignyanus,1,1,1,"Fernando, E.",2022,IUCN (International Union for Conservation of Nature),Extant (resident),,,Altonia,,,gbif,,0.0,-54.013332,-23.86111
1814469,186531,Austrolebias reicherti,1,1,1,"Loureiro, M.",2021,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,-53.9211998,-32.92679977
1814672,186541,Gymnogeophagus setequedas,1,1,1,"Fernando, E.",2023,IUCN (International Union for Conservation of Nature),Extant (resident),,,"área de inundação do rio Iguazu, em Juan E.O'Leary (sistema do rio Paraná)",,,splink,,0.0,-55.5,-25.33333397
1815452,186593,Piaractus mesopotamicus,1,1,1,"Brejão, G. L.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,CRIA,,0.0,-57.16666667,-21.11666667
1815977,186628,Pseudoplatystoma corruscans,1,1,1,"Salvador, G.N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,cria,,0.0,-59.553457,-30.01593
1816172,186641,Psalidodon ojiara,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Araya et al., 2012",HumanObservation,2012.0,-53.983333,-26.983333
1818029,186764,Psalidodon leonidas,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Azpelicueta et al., 2002a",HumanObservation,2002.0,-54.083333,-25.766667
1819244,186845,Steindachneridion scriptum,1,1,1,"Salvador, G.N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,cria,,0.0,-54.4587,-25.64708333
1819694,186875,Zungaro jahu,1,1,1,"Salvador, G.N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,cria,,0.0,-57.01805556,-19.57666667
1821254,186979,Psalidodon ita,1,1,1,Jorge Liotta,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,"Almirón et al., 2002",HumanObservation,2002.0,-53.97025,-25.786889
1822654,187069,Austrolebias gymnoventris,1,1,1,"Loureiro, M.",2021,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,-54.76620102,-33.82960129
1822864,187083,Glandulocauda melanopleura,1,1,1,"Lyons, T.",2020,New Mexico BioPark Society,Extant (resident),,,,,,Camelier et al. 2018,,0.0,-46.93908333,-23.96430556
1822894,187085,Oligosarcus menezesi,1,1,1,Claudio Baigún. Florencia Brancolini,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,Casciotta et al 2016,HumanObservation,2016.0,-54.43333,-25.68333
1967114,191030,Lacantunia enigmatica,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Rodiles-Hernández et al. 2005, ,,-91.116,16.758
1970358,191116,Atherinella callida,5,1,1,IUCN Freshwater Biodiversity Unit,2018,Topiltzin Contreras McBeath,Extinct, , , , , ,T. Contreras McBeath 2014, ,,-96.63333,18.54999924
1970666,191129,Chirostoma aculeatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1953.0,-101.13694,20.22722
1970673,191130,Chirostoma chapalae,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1949.0,-103.18222,20.31944
1970680,191131,Chirostoma charari,5,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extinct, , , , , , ,PRESERVED_SPECIMEN,1953.0,-101.27889,19.66056
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,, ,,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1953.0,-101.61306,19.53167
1971590,191163,Chirostoma lucius,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1963.0,-103.18278,20.28639
1971757,191168,Chirostoma melanoccus,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1962.0,-102.67611,19.85444
1972124,191178,Chirostoma mezquital,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-104.92,24.81027778
1972211,191181,Chirostoma patzcuaro,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1937.0,-101.61306,19.53167
1972380,191187,Chirostoma riojai,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1954.0,-99.43857,19.21453
1972387,191188,Chirostoma sphyraena,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1963.0,-103.1875,20.27917
1972587,191200,Astyanax altior,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto 2017, ,,-90.278,20.845
1972594,191201,Astyanax jordani,1,1,1,"Ornelas García, P.",2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , ,, ,,"(Ornelas García, pers. Comm. 2019)", ,0.0,-99.41159,21.95096
1974343,191248,Algansea aphanea,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-103.42,19.74555556
1974357,191250,Algansea barbata,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1951.0,-99.77889,19.5675
1974364,191251,Algansea lacustris,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1949.0,-101.61917,19.54556
1974371,191252,Algansea monticola,1,1,1,IUCN Freshwater Biodiversity Unit,2018,Topiltzin Contreras McBeath,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-103.32,21.90333333
1974378,191253,Algansea popoche,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1963.0,-102.75611,20.14417
1974611,191266,Gila eremica,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-111.13,28.03777778
1974646,191271,Notropis boucardi,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,http://gbif.org/occurrence/1889076045, ,1939.0,-99.333333,18.966667
1974814,191275,Notropis calientis,1,1,1,T. Contreras McBeath,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-103.2211111,20.5225
1975254,191290,Notropis tropicus,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1930.0,-99.0,22.86667
1975296,191296,Tampichthys rasconis,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1972.0,-99.5,21.96667
1975303,191297,Yuriria alta,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-104.55,21.93333333
1975317,191299,Yuriria chapalae,1,1,1,Marcelo Tognelli,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,N. Mercado-Silva, ,2010.0,-102.8675,20.1546
1975345,191304,Cyprinodon esconditus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,J.J. Schmitter-Soto,Extant (resident), , , , , ,Miller et al. 2005, ,,-88.73,19.806
1975359,191306,Cyprinodon salvadori,1,1,1,"T. Contreras McBeath, GBIF",2018,"TNHC, FishBase",Extant (resident), , , , , , ,PRESERVED_SPECIMEN,,-107.18361,27.92639
1975366,191307,Cyprinodon suavium,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Strecker 2005, ,,-88.771,19.877
1975683,191313,Fundulus philpisteri,1,1,1,Arcadio Valdes,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,Arcadio Valdes pers comms 2019, ,,-99.334444,24.864219
1977348,191370,Allodontichthys polylepis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río de las Bolas, , , ,Köck et al., ,2016.0,-104.3596,20.5575
1977362,191372,Allodontichthys zonistius,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Armería, , , ,Dominguez-Domínguez et al., ,2001.0,-104.2278,19.7955
1978831,191417,Rhinocypha huai,1,1,1,Viola Clausnitzer,2021,IUCN SSC Dragonfly Specialist Group,Extant (resident),,,,,,,,,108.8623,18.71249
1998108,191692,Alloophorus robustus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Cotija, , , ,Univ. Michoacana, ,1984.0,-101.6916,19.5853
1998425,191695,Allotoca dugesii,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Lago de Patzcuaro, , , ,Köck et al., ,2017.0,-101.5215,19.573
1998439,191697,Allotoca meeki,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2017.0,-101.6055,19.4066
1998446,191698,Neoophorus regalis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,2008.0,-102.8612,19.923
1998453,191699,Allotoca zacapuensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,de Jong, ,2014.0,-101.4795,19.8745
1998460,191700,Chapalichthys encaustus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,C.E.G., ,1984.0,-102.7658,20.1522
1999656,191705,Chapalichthys pardalis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Cotija, , , ,Slaboch et al., ,2012.0,-102.6687,19.8303
2000012,191713,Neotoca bilineata,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2014.0,-101.1492,19.9178
2000019,191714,Skiffia lermae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2014.0,-101.7879,19.823
2000026,191715,Skiffia multipunctata,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2016.0,-102.2998,19.9372
2000033,191716,Xenotaenia resolanae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Lyons, ,1986.0,-104.6725,19.4956
2000040,191717,Xenotoca eiseni,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,2004.0,-104.9,21.2324
2000047,191718,Xenotoca melanosoma,1,1,1,GBIF,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,gbif_FB-UMSNH_1893254676, ,2010.0,-103.965218,20.722142
2000061,191720,Zoogoneticus quitzeoensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2014.0,-101.7879,19.823
2002441,191754,Poecilia teresae,1,1,1,"Lyons, T.",2019,New Mexico BioPark Society,Extant (resident), , ,, ,,Global Biodiversity Information Facility 2019 https://doi.org/10.15468/dl.vpgpyw,PRESERVED_SPECIMEN,0.0,-89.04137,16.950731
2002448,191755,Poecilia velifera,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto et al 2006, ,,-91.684,18.68
2006876,191824,Gobiesox fluviatilis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Mercado-Silva et al. 2016, ,,-104.801,19.577
2006883,191825,Gobiesox juniperoserrai,4,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Possibly Extinct, , , , ,Type locality,Ruiz-Campos et al. 2014, ,,-111.115,24.385
2006890,191826,Gobiesox mexicanus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Miller et al. 2005, ,,-104.772,19.696
2179619,192882,Chiapaheros grammodes,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1962.0,-93.07833,16.76583
2179696,192893,Herichthys bartoni,1,1,1,"Fabian Pérez, Omar Mejía,  Eduardo Soto-Galera, IPN-ENCB",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P1567,PRESERVED_SPECIMEN,1951.0,-99.9319,21.8919
2179729,192897,Herichthys labridens,1,1,1,"Fabian Pérez, Omar Mejía,  Eduardo Soto-Galera, IPN-ENCB",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P1888,PRESERVED_SPECIMEN,1955.0,-100.04833,22.30639
2179736,192898,Herichthys tamasopoensis,1,1,1,"Fabian Pérez, Omar Mejía,  Eduardo Soto-Galera, IPN-ENCB",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P2898,PRESERVED_SPECIMEN,1978.0,-99.418889,21.920833
2179771,192903,Rocio gemmata,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto 2007, ,,-87.274,20.962
2180601,192946,Etheostoma lugoi,1,1,1,T. Contreras McBeath,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,T. Contreras McBeath 2014, ,,-102.14,26.90083333
2349297,19455,Rhamdia reddelli,1,1,1,Arroyave,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,Miller 1984, ,,-96.635,18.446888
2349993,19456,Rhamdia zongolicensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , ,Type locality,Wilkens 1993, ,,-96.853,18.663
2482411,19736,Millerichthys robustus,1,1,1,Andrea Velasco,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,http://gbif.org/occurrence/1978436494, ,2017.0,-95.605436,18.628786
2684925,200901,Gigantidas horikoshii,1,1,1,Elin Thomas,2020,IUCN (International Union for Conservation of Nature),Extant (resident), , ,, ,, , ,0.0,141.08299255,26.70000076
2686557,200958,Gigantidas taiwanensis,1,1,1,Aoife Molloy,2021,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,,,0.0,121.94999695,24.83329964
2686572,200959,Bathymodiolus brevior,1,1,1,Elin Thomas,2020,IUCN,Extant (resident),,,,,,,,0.0,-176.69700623,-22.53000069
2688298,201004,Bathymodiolus elongatus,1,1,1,Elin Thomas,2020,IUCN,Extant (resident),,,,,,,,0.0,173.48300171,-18.81669998
2690611,201075,Bathymodiolus septemdierum,1,1,1,Elin Thomas,2020,IUCN,Extant (resident),,,,,,,,0.0,139.73300171,31.9666996
2690857,201085,Bathymodiolus marisindicus,1,1,1,Elin A. Thomas,2019,International Union for Conservation of Nature,Extant (resident),,,,,,,,0.0,49.65,-37.7833333
2691169,201096,Vulcanidas insolatus,1,1,1,Elin Thomas,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,, ,0.0,-178.72099304,-30.2140007
2694033,201164,Bathymodiolus manusensis,1,1,1,Elin Thomas,2020,IUCN,Extant (resident),,,,,,,,0.0,151.66999817,-3.7249999
2698047,201281,Gigantidas gladius,1,1,1,Elin Thomas,2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,, ,0.0,-178.72099304,-30.2140007
2731361,201956,Labeo rajasthanicus,1,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,"India: Chambal Kota, Rajasthan",,,Lal et al. (2016),HumanObservation,0.0,75.817833,25.154833
2731375,201958,Puntius khohi,1,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,"India: Uttaranchal, Dogadda",,,Dobriyal et al. (2004),HumanObservation,0.0,78.6123,29.8103
2731389,201960,Puntius nangalensis,1,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,"India: Nangal Lake, eastern Punjab, Himachal Pradesh",,,Jayaram (1990),HumanObservation,0.0,76.3817,31.4026
2731417,201964,Schizothorax huegelii,1,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,"India: Jammu and Kashmir, Jhelum",,,Nyman (1995),HumanObservation,0.0,74.2505,34.179
2731657,201980,Kryptoglanis shajii,1,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,"Inaia: homestead well at Nellayi (Vylore) village,  Kerala,  India",,,Lundberg et al. (2014),HumanObservation,2006.0,76.45,10.65
2731671,201983,Pinniwallago kanpurensis,4,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,"India: Bhitargaon, Kanpur, Uttar Pradesh",,,Gupta et al. (1981),HumanObservation,1976.0,80.2722,26.2093
2732224,202045,Merogomphus femoralis,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident), , ,, ,,"Cheong, Tang & Ngiam 2009",PreservedSpecimen,2007.0,103.78813,1.37732
2732433,202046,Brachygonia puella,1,1,1,R.A. Dow,2017,R.A. Dow,Extant (resident),,, , ,,"Dow, Ngiam & Ahmad 2015",PreservedSpecimen,2012.0,111.05844,1.61882
2782910,2271,Ataeniobius toweri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Ahumada-Carillo, ,2018.0,-99.9013,22.1865
2783687,23116,Xenoophorus captivus,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2014.0,-101.1028,22.9347
2896759,39296,Typhlias pearsei,1,1,1,Jairo Arroyave,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,Arroyave in prep.,Collection,2017.0,-89.81833333,20.68194444
3000383,4531,Characodon lateralis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2015.0,-104.2744,23.9389
3011880,4689,Chirostoma bartoni,4,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Possibly Extinct, , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1985.0,-101.20194,20.38611
3012480,4836,Herichthys minckleyi,1,1,1,"Fabian Pérez, Omar Mejía,  Eduardo Soto-Galera, IPN-ENCB",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ECOSURECOCH6413,PRESERVED_SPECIMEN,2009.0,-102.036,26.91
3078207,5933,Cualac tessellatus,1,1,1,A. Valdez Gonzalez,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,A. Valdez Gonzalez pers. Comms. 2018, ,,-100.038655,22.302688
